"size","decay","Accuracy","Kappa","AccuracySD","KappaSD"
1,0,0.678155460042252,0.0333412920759526,0.0088868801404766,0.0650951722186787
1,1e-04,0.674484446710862,0.0408700029900992,0.015857369058505,0.068936454251195
1,0.1,0.683658046186348,0.143954338136882,0.0154231913518233,0.0468529958824022
3,0,0.659600641072339,0.116173111760614,0.0237852869565511,0.05901269156928
3,1e-04,0.658846943979019,0.113763964714016,0.0224428490946839,0.0711010735319353
3,0.1,0.670661615793691,0.136893312245514,0.0209024541316575,0.0638733628557473
5,0,0.654695563488016,0.114049278219123,0.0242923531436413,0.0666794481732929
5,1e-04,0.6517815983099,0.133002648432388,0.0240629046012951,0.0536614266179956
5,0.1,0.660577256501785,0.136394466070335,0.018959076373137,0.0469208347337703
